Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
alloy-diamond-silver-bracelet,Alloy Diamond Silver Bracelet,"Alloy Diamond Silver Bracelet<br><a href=""https://www.flipkart.com/kiorah-alloy-diamond-silver-bracelet/p/itm50b33832f3701?pid=BBAH44CKQUFHQGFW&amp;lid=LSTBBAH44CKQUFHQGFWCMISW7&amp;marketplace=FLIPKART&amp;q=bracelet+for+women&amp;store=mcr%2F96v%2Ffbc&amp;srno=s_1_40&amp;otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;fm=organic&amp;iid=9cb8c214-a485-4c8f-a620-2d4999ad5f20.BBAH44CKQUFHQGFW.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=8xvwyuarwg0000001758291672621&amp;qH=e0a543290f395afd"">View on Flipkart</a>",KIORAH,Apparel & Accessories > Jewelry > Bracelets,Bracelets,Bracelets,True,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,4350.0,8999.0,True,True,,,,,,https://cdn.shopify.com/s/files/1/0721/9304/8766/files/free-1-9-na-1-krh-elegant-floral-bracelet-kiorah-original-imah8kgzaszed9g2.jpg?v=1758291878,1.0,,False,,,,kg,,,active
crystal-crystal-bracelet,Crystal Crystal Bracelet,"Crystal Crystal Bracelet<br><a href=""https://www.flipkart.com/satyamani-crystal-bracelet/p/itm7ca8503e1831f?pid=BBAFJ7Z2ZBTNUHFE&amp;lid=LSTBBAFJ7Z2ZBTNUHFEZ6JFSD&amp;marketplace=FLIPKART&amp;q=bracelet+for+women&amp;store=mcr%2F96v%2Ffbc&amp;srno=s_1_37&amp;otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;fm=organic&amp;iid=9cb8c214-a485-4c8f-a620-2d4999ad5f20.BBAFJ7Z2ZBTNUHFE.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=8xvwyuarwg0000001758291672621&amp;qH=e0a543290f395afd"">View on Flipkart</a>",SATYAMANI,Apparel & Accessories > Jewelry > Bracelets,Bracelets,Bracelets,True,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,2213.0,3000.0,True,True,,,,,,https://cdn.shopify.com/s/files/1/0721/9304/8766/files/free-size-1-smas0362n-2-satyamani-original-imafj9bght4x79yd.jpg?v=1758291877,1.0,,False,,,,kg,,,active
stone-crystal-bracelet,Stone Crystal Bracelet,"Stone Crystal Bracelet<br><a href=""https://www.flipkart.com/sparsh-gems-stone-crystal-bracelet/p/itmb7ad00b1458e5?pid=BBAH9HYSNUZX7YGZ&amp;lid=LSTBBAH9HYSNUZX7YGZ1FK8D2&amp;marketplace=FLIPKART&amp;q=bracelet+for+women&amp;store=mcr%2F96v%2Ffbc&amp;srno=s_1_35&amp;otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;fm=organic&amp;iid=9cb8c214-a485-4c8f-a620-2d4999ad5f20.BBAH9HYSNUZX7YGZ.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=8xvwyuarwg0000001758291672621&amp;qH=e0a543290f395afd"">View on Flipkart</a>",Sparsh Gems,Apparel & Accessories > Jewelry > Bracelets,Bracelets,Bracelets,True,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,2400.0,4500.0,True,True,,,,,,https://cdn.shopify.com/s/files/1/0721/9304/8766/files/free-2-5-na-1-001-sparsh-gems-original-imahafzubgrnbjze.jpg?v=1758291876,1.0,,False,,,,kg,,,active
stone-crystal-beads-crystal-bracelet,"Stone, Crystal Beads, Crystal Bracelet","Stone, Crystal Beads, Crystal Bracelet<br><a href=""https://www.flipkart.com/edmiria-stone-crystal-beads-bracelet/p/itma98da7490b790?pid=BBAGZ7VFBFXJ9AYJ&amp;lid=LSTBBAGZ7VFBFXJ9AYJJDM6ZY&amp;marketplace=FLIPKART&amp;q=bracelet+for+women&amp;store=mcr%2F96v%2Ffbc&amp;srno=s_1_33&amp;otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;fm=organic&amp;iid=9cb8c214-a485-4c8f-a620-2d4999ad5f20.BBAGZ7VFBFXJ9AYJ.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=8xvwyuarwg0000001758291672621&amp;qH=e0a543290f395afd"">View on Flipkart</a>",Edmiria,Apparel & Accessories > Jewelry > Bracelets,Bracelets,Bracelets,True,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,2235.0,2999.0,True,True,,,,,,https://cdn.shopify.com/s/files/1/0721/9304/8766/files/free-2-5-na-natural-multi-beads-bracelet-for-men-and-women-original-imagz7sfv2zm5v6j.jpg?v=1758291876,1.0,,False,,,,kg,,,active
stainless-steel-cubic-zirconia-gold-plated-bracelet,Stainless Steel Cubic Zirconia Gold-plated Bracelet,"Stainless Steel Cubic Zirconia Gold-plated Bracelet<br><a href=""https://www.flipkart.com/palmonas-stainless-steel-cubic-zirconia-gold-plated-bracelet/p/itm5c8e3489c6c3d?pid=BBAH7YTV7YNHBUBY&amp;lid=LSTBBAH7YTV7YNHBUBYKWCAWX&amp;marketplace=FLIPKART&amp;q=bracelet+for+women&amp;store=mcr%2F96v%2Ffbc&amp;srno=s_1_31&amp;otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;fm=organic&amp;iid=9cb8c214-a485-4c8f-a620-2d4999ad5f20.BBAH7YTV7YNHBUBY.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=8xvwyuarwg0000001758291672621&amp;qH=e0a543290f395afd"">View on Flipkart</a>",Palmonas,Apparel & Accessories > Jewelry > Bracelets,Bracelets,Bracelets,True,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,2763.0,4214.0,True,True,,,,,,https://cdn.shopify.com/s/files/1/0721/9304/8766/files/free-18-na-1-pmwssbr088-g-palmonas-original-imah7ytutarzw9sf.jpg?v=1758291875,1.0,,False,,,,kg,,,active
stone-crystal-beads-agate-crystal-bracelet,"Stone, Crystal Beads, Agate, Crystal Bracelet","Stone, Crystal Beads, Agate, Crystal Bracelet<br><a href=""https://www.flipkart.com/plus-value-stone-crystal-beads-agate-bracelet/p/itmae03ac744700b?pid=BBAGF9VUNPBT2CA5&amp;lid=LSTBBAGF9VUNPBT2CA5ND5UA3&amp;marketplace=FLIPKART&amp;q=bracelet+for+women&amp;store=mcr%2F96v%2Ffbc&amp;srno=s_1_18&amp;otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;fm=organic&amp;iid=9cb8c214-a485-4c8f-a620-2d4999ad5f20.BBAGF9VUNPBT2CA5.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=8xvwyuarwg0000001758291672621&amp;qH=e0a543290f395afd"">View on Flipkart</a>",Plus Value,Apparel & Accessories > Jewelry > Bracelets,Bracelets,Bracelets,True,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,2188.0,5100.0,True,True,,,,,,https://cdn.shopify.com/s/files/1/0721/9304/8766/files/free-3-na-1-iolite-bracelet-reiki-healing-crystal-10mm-beads-original-imah28zk8ufrm7wb.jpg?v=1758291874,1.0,,False,,,,kg,,,active
stone-malachite-bracelet,Stone Malachite Bracelet,"Stone Malachite Bracelet<br><a href=""https://www.flipkart.com/reiki-crystal-products-stone-malachite-bracelet/p/itmd566c7b1a23fb?pid=BBAEEBG97BSY5DGY&amp;lid=LSTBBAEEBG97BSY5DGYIQ1MSS&amp;marketplace=FLIPKART&amp;q=bracelet+for+women&amp;store=mcr%2F96v%2Ffbc&amp;srno=s_1_17&amp;otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;fm=organic&amp;iid=9cb8c214-a485-4c8f-a620-2d4999ad5f20.BBAEEBG97BSY5DGY.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=8xvwyuarwg0000001758291672621&amp;qH=e0a543290f395afd"">View on Flipkart</a>",REIKI CRYSTAL PRODUCTS,Apparel & Accessories > Jewelry > Bracelets,Bracelets,Bracelets,True,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,2075.0,2099.0,True,True,,,,,,https://cdn.shopify.com/s/files/1/0721/9304/8766/files/malachite-bracelet-10mm-7-reiki-crystal-products-1-original-imaee5hk9jgpzeb6.jpg?v=1758291873,1.0,,False,,,,kg,,,active
brass-tourmaline-silver-bracelet,Brass Tourmaline Silver Bracelet,"Brass Tourmaline Silver Bracelet<br><a href=""https://www.flipkart.com/gempro-brass-tourmaline-silver-bracelet/p/itm36df68b3800fa?pid=BBAFQN2MSS4RYTJA&amp;lid=LSTBBAFQN2MSS4RYTJAVCBD9S&amp;marketplace=FLIPKART&amp;q=bracelet+for+women&amp;store=mcr%2F96v%2Ffbc&amp;srno=s_1_15&amp;otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;fm=organic&amp;iid=9cb8c214-a485-4c8f-a620-2d4999ad5f20.BBAFQN2MSS4RYTJA.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=8xvwyuarwg0000001758291672621&amp;qH=e0a543290f395afd"">View on Flipkart</a>",Gempro,Apparel & Accessories > Jewelry > Bracelets,Bracelets,Bracelets,True,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,2963.0,5200.0,True,True,,,,,,https://cdn.shopify.com/s/files/1/0721/9304/8766/files/3-5-1-gb200102-gempro-original-imafqn8x9ugskhym.jpg?v=1758291872,1.0,,False,,,,kg,,,active
brass-gold-plated-bracelet,Brass Gold-plated Bracelet,"Brass Gold-plated Bracelet<br><a href=""https://www.flipkart.com/rubans-brass-gold-plated-bracelet/p/itm06f03da07b46a?pid=BBAHDEWZ7YE9GZWY&amp;lid=LSTBBAHDEWZ7YE9GZWYRXC9EL&amp;marketplace=FLIPKART&amp;q=bracelet+for+women&amp;store=mcr%2F96v%2Ffbc&amp;srno=s_1_14&amp;otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;fm=organic&amp;iid=9cb8c214-a485-4c8f-a620-2d4999ad5f20.BBAHDEWZ7YE9GZWY.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=8xvwyuarwg0000001758291672621&amp;qH=e0a543290f395afd"">View on Flipkart</a>",RUBANS,Apparel & Accessories > Jewelry > Bracelets,Bracelets,Bracelets,True,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,2043.0,5450.0,True,True,,,,,,https://cdn.shopify.com/s/files/1/0721/9304/8766/files/free-na-na-1-re14v403386-rubans-original-imahdewzs4vcxwn7.jpg?v=1758291871,1.0,,False,,,,kg,,,active
steel-gold-plated-bracelet,Steel Gold-plated Bracelet,"Steel Gold-plated Bracelet<br><a href=""https://www.flipkart.com/guess-steel-gold-plated-bracelet/p/itmd9028acb9ca4e?pid=BBAHDG7HWY26P8VG&amp;lid=LSTBBAHDG7HWY26P8VGXNQSXI&amp;marketplace=FLIPKART&amp;q=bracelet+for+women&amp;store=mcr%2F96v%2Ffbc&amp;srno=s_1_11&amp;otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&amp;fm=organic&amp;iid=9cb8c214-a485-4c8f-a620-2d4999ad5f20.BBAHDG7HWY26P8VG.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=8xvwyuarwg0000001758291672621&amp;qH=e0a543290f395afd"">View on Flipkart</a>",Guess,Apparel & Accessories > Jewelry > Bracelets,Bracelets,Bracelets,True,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,4995.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0721/9304/8766/files/2-4-2-15-na-1-ubb04027ygwhl-guess-original-imahdg57qumkzuhj.jpg?v=1758291870,1.0,,False,,,,kg,,,active
